iShares Core S&P 500 ETF
Fund Holdings as of,"Mar 24, 2023"
Inception Date,"May 15, 2000"
Shares Outstanding,"745,900,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"EOG","EOG RESOURCES INC","Energy","Equity","552,397,752.06","0.19","552,397,752.06","5,236,494.00","105.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CL","COLGATE-PALMOLIVE","Consumer Staples","Equity","546,671,443.62","0.18","546,671,443.62","7,445,811.00","73.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ATVI","ACTIVISION BLIZZARD INC","Communication","Equity","535,796,667.06","0.18","535,796,667.06","6,349,054.00","84.39","United States","NASDAQ","USD","1.00","USD","-"
"APD","AIR PRODUCTS AND CHEMICALS INC","Materials","Equity","529,945,378.82","0.18","529,945,378.82","1,979,846.00","267.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSX","CSX CORP","Industrials","Equity","529,480,907.75","0.18","529,480,907.75","18,742,687.00","28.25","United States","NASDAQ","USD","1.00","USD","-"
"SNPS","SYNOPSYS INC","Information Technology","Equity","511,662,573.36","0.17","511,662,573.36","1,358,781.00","376.56","United States","NASDAQ","USD","1.00","USD","-"
"WM","WASTE MANAGEMENT INC","Industrials","Equity","511,438,529.94","0.17","511,438,529.94","3,311,139.00","154.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MPC","MARATHON PETROLEUM CORP","Energy","Equity","504,703,921.50","0.17","504,703,921.50","4,047,345.00","124.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CDNS","CADENCE DESIGN SYSTEMS INC","Information Technology","Equity","500,055,431.04","0.17","500,055,431.04","2,445,498.00","204.48","United States","NASDAQ","USD","1.00","USD","-"
"CCI","CROWN CASTLE INC","Real Estate","Equity","499,732,818.18","0.17","499,732,818.18","3,860,133.00","129.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EL","ESTEE LAUDER INC CLASS A","Consumer Staples","Equity","499,178,791.92","0.17","499,178,791.92","2,065,368.00","241.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MMM","3M","Industrials","Equity","496,358,001.62","0.17","496,358,001.62","4,907,633.00","101.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","485,703,076.69","0.16","485,703,076.69","4,982,081.00","97.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FCX","FREEPORT MCMORAN INC","Materials","Equity","484,332,884.49","0.16","484,332,884.49","12,742,249.00","38.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HCA","HCA HEALTHCARE INC","Health Care","Equity","480,550,540.68","0.16","480,550,540.68","1,890,294.00","254.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","476,574,791.95","0.16","476,574,791.95","476,574,792.00","1.00","United States","-","USD","1.00","USD","-"
"KLAC","KLA CORP","Information Technology","Equity","463,037,042.45","0.16","463,037,042.45","1,234,535.00","375.07","United States","NASDAQ","USD","1.00","USD","-"
"ORLY","OREILLY AUTOMOTIVE INC","Consumer Discretionary","Equity","450,677,161.20","0.15","450,677,161.20","555,870.00","810.76","United States","NASDAQ","USD","1.00","USD","Jan 01, 1970"
"FDX","FEDEX CORP","Industrials","Equity","450,450,496.00","0.15","450,450,496.00","2,070,085.00","217.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GD","GENERAL DYNAMICS CORP","Industrials","Equity","448,368,937.50","0.15","448,368,937.50","2,006,125.00","223.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GIS","GENERAL MILLS INC","Consumer Staples","Equity","445,734,494.40","0.15","445,734,494.40","5,256,303.00","84.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EW","EDWARDS LIFESCIENCES CORP","Health Care","Equity","445,124,003.64","0.15","445,124,003.64","5,511,689.00","80.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRNA","MODERNA INC","Health Care","Equity","444,404,667.84","0.15","444,404,667.84","2,945,418.00","150.88","United States","NASDAQ","USD","1.00","USD","-"
"VLO","VALERO ENERGY CORP","Energy","Equity","444,223,447.16","0.15","444,223,447.16","3,436,666.00","129.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SHW","SHERWIN WILLIAMS","Materials","Equity","444,176,268.08","0.15","444,176,268.08","2,102,311.00","211.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Financials","Equity","443,818,248.25","0.15","443,818,248.25","3,574,855.00","124.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
